"Ginásio","coordenadas","Bairro","Logradouro"
"Arco da Eliza","-8.020761,-34.982177","Centro","Rua Eliza Cabral"
"Igreja Católica de Camaragibe","-8.020883,-34.983200","Centro","Rua Pio X"
"Praça Coimbral","-8.019012,-34.979088","Centro","Rua das açucenas"
"Parquinho da Praça do Cajá","-8.01654,-34.982756","Centro","Rua Daniel Freire Bastos"
NA,NA,NA,NA
"Prefeitura de Camaragibe","-8.022527,-34.992841","Timbi","Av Dr Belmino Correia"
"Brasão Ministério Público","-8.022527,-34.992841","Timbi","Av Dr Belmino Correia"
"Assembleia Novo Tempo","-8.023574,-34.994893","Timbi","Av Dr Belmino Correia"
"Igreja Batista Filadélfia","-8.023983,-34.992113","Timbi","Rua Francisco de Paula Correia de Araujo"
"Igreja Redonda","-8.022034,-34.988751","Timbi","Rua Treze de Maio"
"Igreja Quadrangular de Timbi","-8.020808,-34.988690","Timbi","Rua Afonso Pena"
"Igreja Assembleia de Deus de Timbi","-8.018406,-34.988793","Timbi","Rua João Alves de Barros"
"Igreja Católica Timbi","-8.014664,-34.990401","Timbi","Av Ercina Lapenda"
"Assembleia de Deus Timbi","-8.013417,-34.990665","Timbi","R. O G Silva"
NA,NA,NA,NA
"Chaminé Shopping Camará","-8.015733,-34.977215","Vila da Fábrica","Camará Shopping"
"Pátio","-8.014415,-34.976639","Vila da Fábrica","Av Manoel Honorato da Costa"
"Índio do Clube Guarani","-8.012772,-34.975740","Vila da Fábrica","Av Comendador Luiz Machado"
"Igreja Universal Vila da Fábrica","-8.010104,-34.977536","Vila da Fábrica","Rua Luiz Carlos de Araújo"
"Terminal Vila da Fábrica","-8.009007,-34.978639","Vila da Fábrica","Rua Um"
NA,NA,NA,NA
"Parque Camaragibe","-8.018639,-34.971878","Vila da Inabi","Av Dr Belmino Correia"
"Parque Infantil do Parque de Camaragibe","-8.018264,-34.970926","Vila da Inabi","PE-027"
"Testemunhas de Jeová","-8.015593,-34.970584","Vila da Inabi","Av. Samuel Macdowell"
"Igreja Batista Peniel","-8.013538,-34.967379","Jardim Primavera","Rua João Francisco da Silva"
"Assembleia de Deus","-8.01355,-34.965705","Jardim Primavera","Rua Rui Barbosa"
"Assembleia de Deus","-8.017493,-34.965002","Nazaré","Rua Desportista"
"Igreja Batista Jardim Nazaré","-8.018727,-34.963231","Nazaré","Rua Osmar Cunha"
NA,NA,NA,NA
"Capela de Santo Antônio","-8.024182,-35.010309","Alberto Maia","Rua Santo Antônio de Pádua"
"Capela Nossa Senhora do Carmo","-8.024594,-35.005320","Alberto Maia","Rua Sem Nome"
"Assembleia de Deus Santa Mônica","-8.027889,-34.998714","Santa Mônica","Rua Josadark Alves de Franca"
"Igreja Católica Santa Mônica","-8.031014,-35.001750","Santa Mônica","Rua Sem Nome"
NA,NA,NA,NA
"Assembléia de Deus Novas de Paz Santana","-8.012057, -35.005526","Santana","Rua Barão de Lucena"
"Congregação Cristã","-8.016713, -35.007506","Santana","Rua Natal"
"Igreja Congregacional do Santana","-8.010682, -35.009525","Santana","Rua Jacuípe"
"Conselho de Moradores Gleba","-8.012947, -35.004188","João Paulo II","Rua Alterosa"
NA,NA,NA,NA
"Ruínas Estação Ferroviária","-8.023819,-35.001546","Estação Nova","Rua Sem Nome"
"Igreja Reformada Alberto Maia","-8.021549,-35.002547","Estação Nova","Rua Ceará"
"Assembleia de Deus Ministério Efraim","-8.019726,-35.003061","Estação Nova","Rua Itapemirim"
NA,NA,NA,NA
"Assembleia de Deus Ministério Adoração","-8.007838,-34.995065","Celeiro das Alegrias","Rua Sem Nome"
"Associação de Moradores de Sta Terezinha","-8.023815,-35.012664","Santa Terezinha",NA
"Salão Testemunhas de Jeová Timbi","-8.008623,-34.994277","Céu Azul","Rua dos Assessores"
"Congregação Batista Missionária El Shiday","-8.023747,-34.989988","Alto Santo Antônio","Rua Francisco de Paula Correia de Araujo"
"Arena de Pernambuco","-8.042216,-35.007714","Penedo","Arena Pernambuco"
"Estátua de São Lourenço","-8.015661, -35.010655","Capibaribe","Ladeira do Liberato"
NA,NA,NA,NA
"Assembleia de Deus Camaragibe","-8.022248,-34.963737","Caxangá","Avenida Joaquim Ribeiro"
"UPA - Caxangá","-8.029704,-34.957785","Caxangá","Rua Ribeiro Pessoa"
"Assembleia de Deus Caxangá","-8.026498,-34.962235","Várzea","Rua Francisco Leopoldino"
"Padre Ciço","-8.030139,-34.958172","Várzea","Rua Gastão Vidigal"
